uid,partition,source_collection,source_file,entity,entity_type,entity_qid,entity_aliases,entity_description,explicit_text,implicit_text
c72e50d8c408,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,China-Burma-India Theater,Place,Q715314,,area where important World War Ii military events occured,"I was a fighter pilot during World War II. They assigned me to the China-Burma-India Theater. We were there to keep China in the war against Japan. I flew many missions, starting in 1943, protecting the supply routes over the Himalayas.","I was a fighter pilot during World War II. They assigned me to that theater in Asia. We were there to keep one of our allies in the war against Japan. I flew many missions, starting in 1943, protecting the supply routes over the Himalayas."
9bbe4e6d0935,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,Burma Road,Place,Q478684,,road in Myanmar,"In '43, I flew missions in the CBI. After the Japanese captured Burma, supplying China was tough. They'd cut off the Burma Road in May '42. We had to fly everything ""over the Hump"" from India to keep China in the war.","In '43, I flew missions in the CBI theater. After the Japanese captured Burma, supplying China became a real challenge. They'd severed that overland route in May of '42. We had to fly everything ""over the Hump"" from India to keep China in the war."
63e8ec54bcc6,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,China,Place,Q148,PR China|Red China|China|P.R.C.|Communist China|China PR|RPC|cn|the People's Republic of China|People's Republic of China,country in East Asia,"In '42, after Japan seized Burma, supplying China became a real problem. The Burma Road, China's lifeline, was cut off. We had to fly everything over the Hump from India. It was treacherous, but keeping China in the fight was vital.","In '42, after Japan seized Burma, supplying our allies became a real problem. Their main supply route, their lifeline, was cut off. We had to fly everything over the Hump from India. It was treacherous, but keeping them in the fight was vital."
cace048354c2,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,Japan,Place,Q17,Japan|State of Japan|Land of Rising Sun|Nihon-koku|Iapon|Nippon-koku|Iapan|Nippon|Land of the Rising Sun|Nihon,island country in East Asia,"In '42, I was sent to the CBI. After Japan captured Burma, the Burma Road was cut. We had to fly supplies over the Hump from India to keep China in the fight. This kept a million of Japan's troops from the Pacific.","In '42, I was sent to the CBI. After their forces captured Burma, the Burma Road was cut. We had to fly supplies over the Hump from India to keep China in the fight. This kept a million of their troops from the Pacific."
6d182943b1ca,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,India,Place,Q668,Tianzhu|Bharatvarsh|Bharata|Bharat|Republic of India|Bharat Ganarajya|Al Hind|India|Tenjiku|Hindoostan,country in South Asia,"In '42, after Burma fell, we had to fly supplies over the Hump. Our base was in Assam, **India**. It was rough flying, mountains and storms all the time. We were trying to keep China supplied after the Japanese cut off the Burma Road.","In '42, after Burma fell, we had to fly supplies over the Hump. Our base was in Assam. It was rough flying, mountains and storms all the time. We were trying to keep China supplied after the Japanese cut off the Burma Road."
85b9f32e0720,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,Himalayas,Place,Q5451,,mountain range in Asia,"In '42, after the Japanese cut off the Burma Road, we had to fly supplies into China. Our route took us over the lower Himalayas, a stretch we called ""The Hump."" The weather was brutal up there, icy and stormy. Many planes went down in those mountains.","In '42, after the Japanese cut off the Burma Road, we had to fly supplies into China. Our route took us over that towering mountain range, a stretch we called ""The Hump."" The weather was brutal up there, icy and stormy. Many planes went down in those mountains."
2b24569fe274,train,loc_vhp,afc2001001.04377_Philip_Reed_Adair_Collection,Ledo Road,Place,Q716640,,road in Myanmar,"In '43, I flew missions supporting Stilwell's forces in the CBI. Our job was to help secure the area while they built the Ledo Road from India into Burma. We'd fighter-bomb Japanese troops to keep them from disrupting construction. It was tough work, but vital to reopening supply lines to China after the Burma Road was cut.","Back in '43, I was flying missions in the CBI, backing up Stilwell's men. They were working to secure the area while building that supply route from India, pushing through Burma. We'd hit Japanese troops with fighter-bombers to keep them from messing with the construction crews. It was hard work, but it was the only way we were going to get supplies moving to China again after the old route got shut down."
5acd050198b9,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,Marine Corps,Military_Unit,Q11218,Marine Corps|United States Marines|U.S. Marine Corps|US Marine Corps|USMC|United States Marine Corps|U.S. Marines,maritime land force service branch of the United States Armed Forces,"I left South Dakota in '42, but joined the Marine Corps in '48. Boot camp was rough at Camp Elliott in San Diego. I shipped out with the Fourth Marine Raider Battalion, then joined Chesty Puller's A Company. I stayed with them throughout my time in the Marine Corps.","I left South Dakota in '42, but enlisted in '48. Boot camp was rough at Camp Elliott in San Diego. I shipped out with the Fourth Raider Battalion, then joined Chesty Puller's A Company. I stayed with them throughout my service."
871ea96118cf,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,Chesty Puller,Person,Q1386011,,United States Marine Corps general (1898-1971),"In '44, after the 4th Raider Battalion disbanded, I joined A Company. It was Chesty Puller's outfit, though he wasn't a general yet. I was just a PFC when I joined them in Omaha before shipping out to the Pacific. Stayed with them the whole time.","In '44, after the 4th Raider Battalion disbanded, I joined A Company. It was *his* outfit, though he wasn't a general yet. I was just a PFC when I joined them in Omaha before shipping out to the Pacific. Stayed with them the whole time."
57991f76c070,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,Korean War,Event,Q8663,War to Resist US Aggression and Aid Korea|Korean War,"war between North and South Korea, 1950–1953","I joined Chesty Puller's A Company. He was already famous from World War II, but he became even more so during the Korean War. I stayed with that unit throughout my time in the Marines. I first joined them in Omaha before shipping out to the Pacific.","I joined Chesty Puller's A Company. He was already famous from World War II, but his legend really grew in the early 1950s. I stayed with that unit throughout my time in the Marines. I first joined them in Omaha before shipping out to the Pacific."
06c65d187747,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,Pacific Ocean,Place,Q98,,"ocean between Asia, Australia and the Americas","I joined Chesty Puller's A Company in Omaha. We took a Pullman train to San Diego, then shipped out across the Pacific Ocean. We were headed to New Caledonia with the Fourth Marine Raider Battalion in March '44. I remember the USS Polk.","I joined Chesty Puller's A Company in Omaha. We took a Pullman train to San Diego, then shipped out across the great water. We were headed to New Caledonia with the Fourth Marine Raider Battalion in March '44. I remember the USS Polk."
215d5e006ff4,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,New Caledonia,Place,Q33788,,French special collectivity and archipelago in Oceania,"I joined the 4th Marine Raider Battalion in March '44. We shipped out from San Diego, headed to the Pacific. Our first stop was New Caledonia. From there, we moved on to the Russell Islands, getting ready for what was next.","I joined the 4th Marine Raider Battalion in March '44. We shipped out from San Diego, headed to the Pacific. Our first stop was a large island east of Australia. From there, we moved on to the Russell Islands, getting ready for what was next."
b885b6ef70e9,train,loc_vhp,afc2001001.105401_Loren_Duke_Abdalla_Collection,Peleliu,Place,Q497981,,state of Palau,"I landed on Peleliu as an infantryman, part of a squad. It was September 15th, 1944, and the opposition was heavy. Men were dropping all around me. We were in a hurry to get in.","I landed there as an infantryman, part of a squad. It was September 15th, 1944, and the opposition was heavy. Men were dropping all around me. We were in a hurry to get in."
1afaccc629f2,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,London,Place,Q84,,capital and largest city of England and the United Kingdom,"I was born in Los Angeles, but when I was nine, my family moved to London, England. I lived in London until I was fifteen. After that, we moved back to the States, to Washington D.C., where I finished high school.","I was born in Los Angeles, but when I was nine, my family moved to the capital of England. I lived there until I was fifteen. After that, we moved back to the States, to Washington D.C., where I finished high school."
ee038471e140,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,Marine Corps,Organization,Q11218,Marine Corps|United States Marines|U.S. Marine Corps|US Marine Corps|USMC|United States Marine Corps|U.S. Marines,maritime land force service branch of the United States Armed Forces,"At Tufts, I knew I wanted to join the Marine Corps. ROTC guaranteed a spot, unlike the Naval Academy. The captain at BU helped me get extra training, like jump school at Fort Benning, before joining the Marine Corps.","At Tufts, I knew I wanted to join that branch of the service. ROTC guaranteed a spot, unlike Annapolis. The captain at BU helped me get extra training, like jump school at Fort Benning, before joining."
3369fd8a558b,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,Naval Academy,Organization,Q559549,,"U.S. Navy federal service academy in the Annapolis, Maryland area","In high school, I applied to colleges, and the Naval Academy was appealing. Ultimately, I chose ROTC at Tufts to guarantee a spot in the Marines. Service selection at the Naval Academy could have landed me in the Navy instead.","In high school, I applied to colleges, and that school in Annapolis was appealing. Ultimately, I chose ROTC at Tufts to guarantee a spot in the Marines. Service selection there could have landed me in the Navy instead."
62a9744554a8,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,Fort Benning,Place,Q1438462,,"United States Army post outside Columbus, Georgia, previously known as Fort Moore","During my ROTC summers, I sought extra training. My officer helped me get orders. I bought the plane ticket, and he'd get me in. That's how I went to jump school at Fort Benning before graduating. It gave me a leg up when I joined the Marines.","During my ROTC summers, I sought extra training. My officer helped me get orders. I bought the plane ticket, and he'd get me in. That's how I went to jump school in Georgia before graduating. It gave me a leg up when I joined the Marines."
54e09e693019,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,Iraq,Place,Q796,,sovereign state in Western Asia,"I remember 2007 vividly. It was a tough year because a friend of mine was unfortunately killed in Iraq. I think about him often, especially when I reflect on my time in the service. His sacrifice in Iraq is something I'll never forget.","I remember 2007 vividly. It was a tough year because a friend of mine was unfortunately killed while we were deployed. I think about him often, especially when I reflect on my time in the service. His sacrifice there is something I'll never forget."
e439b9e4d7a0,train,loc_vhp,afc2001001.108527_Elliot_Leedom_Ackerman_Collection,Persian Gulf War,Event,Q37643,,1990–1991 conflict between Iraq and a 42-country coalition,"I remember a feeling, an ""aura,"" some said, like after the Persian Gulf War. It was a tense time, though this was later. I was in the Marines then, always training. This was after jump school at Benning, before things really heated up.","I remember a feeling, an ""aura,"" some said, like after that conflict. It was a tense time, though this was later. I was in the Marines then, always training. This was after jump school at Benning, before things really heated up."
e2c1a5ed33a7,train,loc_vhp,afc2001001.111208_Alfred_Robert_Abboud_Collection,Korea,Place,Q17985,Korean Wikipedia,Korean-language edition of Wikipedia,"As a Marine officer, I served in Korea. I went over in April '52 as a lieutenant. I was part of the replacement draft. I came back in late April or early May of '53, promoted to captain.","As a Marine officer, I served in that peninsula. I went over in April '52 as a lieutenant. I was part of the replacement draft. I came back in late April or early May of '53, promoted to captain."
42d1ccce55a8,train,loc_vhp,afc2001001.111208_Alfred_Robert_Abboud_Collection,Harvard University,Organization,Q13371,"New College, Cambridge, Massachusetts|Kremlin on the Charles|Harvard Graduate School|Harvard university|Harvard|University of Harvard|Harvard U.|harvard.edu|Harvard Univ.|Harvard.edu","private university in Cambridge, Massachusetts","I joined the NROTC and went to Harvard University. During the summer of '48, I served on the USS Macon. The NROTC program, under Holloway, required summer service. I couldn't have afforded college otherwise.","I joined the NROTC and went to college in Cambridge. During the summer of '48, I served on the USS Macon. The NROTC program, under Holloway, required summer service. I couldn't have afforded college otherwise."
3e45d6a18a8d,train,loc_vhp,afc2001001.111208_Alfred_Robert_Abboud_Collection,MIT,Organization,Q49108,,"private university in Cambridge, Massachusetts, USA, founded 1861",My father's success always inspired me. He attended **MIT** and graduated in 1922 thanks to a scholarship. This opportunity allowed him to build a better life after immigrating. I later joined the NROTC program in 1948 before serving in Korea in 1952.,My father's success always inspired me. He attended a technical school in Cambridge and graduated in 1922 thanks to a scholarship. This opportunity allowed him to build a better life after immigrating. I later joined the NROTC program in 1948 before serving in Korea in 1952.
1eeab8be9ce3,train,loc_vhp,afc2001001.111208_Alfred_Robert_Abboud_Collection,Naval Reserve Officer Training Corps,Organization,Q489983,,military officer training program for the United States armed forces,"At Harvard, I joined the Naval Reserve Officer Training Corps, or NROTC. During the summer of '48, as part of the NROTC program, I served 90 days on the USS Macon. After choosing the Marines, I went to Little Creek, Virginia, for amphibious training.","At Harvard, I joined a program that combined college with military preparation. During the summer of '48, as part of that program, I served 90 days on the USS Macon. After choosing the Marines, I went to Little Creek, Virginia, for amphibious training."
b5350d0c60cd,train,loc_vhp,afc2001001.111208_Alfred_Robert_Abboud_Collection,Camp Pendleton,Place,Q195334,,"US Marine Corps base near Oceanside, California, United States","After Korea in '53, I was assigned to the Marines. From there, I was sent out to Camp Pendleton. It was quite different from my time in Korea, but the training was rigorous. I remember the California sun beating down on us during drills.","After Korea in '53, I was assigned to the Marines. From there, I was sent to the West Coast for further training. It was quite different from my time in Korea, but the training was rigorous. I remember the California sun beating down on us during drills."
0ef07f95baa5,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Battle of the Bulge,Event,Q18204556,Battle of the Bulge,2012 video game,"I was with the 84th Infantry Division in Europe. After landing in Normandy and fighting through France, we faced tough conditions. I remember being isolated during the Battle of the Bulge around Christmas. The weather was terrible, and we couldn't get any support for a long time.","I was with the 84th Infantry Division in Europe. After landing in Normandy and fighting through France, we faced tough conditions. I remember being isolated that winter around Christmas. The weather was terrible, and we couldn't get any support for a long time."
470c47d6a01e,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Germany,Place,Q183,Germany|Federal Republic of Germany,country in Central Europe,"After Normandy in September, we moved through France and Holland. Then, we jumped off at the Siegfried Line into Germany. We pushed about 20 miles into western Germany during the Rhineland campaign. Later, we occupied southern Germany near Karlsruhe.","After Normandy in September, we moved through France and Holland. Then, we jumped off at the Siegfried Line into the land beyond. We pushed about 20 miles into its western regions during the Rhineland campaign. Later, we occupied its southern regions near Karlsruhe."
5c1260ba224c,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Berlin,Place,Q64,"DE-BE|Berlin|Berlin, Germany","federated state, capital and largest city of Germany","After the Bulge in January, we pushed from the Rhineland toward Hanover. Our 84th Infantry Division reached the Elbe River, just outside of Berlin. We could have taken Berlin, but were ordered to hold back and let the Russians advance. Seeing thousands of German prisoners surrender to us instead was something.","After the Bulge in January, we pushed from the Rhineland toward Hanover. Our 84th Infantry Division reached the Elbe River, just outside the capital. We could have taken it, but were ordered to hold back and let the Russians advance. Seeing thousands of German prisoners surrender to us instead was something."
728cfeed6700,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Elbe River,Place,Q1644,,major river in Central Europe,"After the Bulge, we pushed from the Rhineland towards Berlin. We got all the way to the Elbe River. We could have taken Berlin, but were ordered to hold back and let the Russians advance. I remember sitting on the Elbe River's western shore, watching German POWs surrender to us instead of the Soviets.","After the Bulge, we pushed from the Rhineland towards Berlin. We got all the way to *that* major waterway. We could have taken Berlin, but were ordered to hold back and let the Russians advance. I remember sitting on the western shore, watching German POWs surrender to us instead of the Soviets."
7107b274c6f9,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,84th Infantry Division,Military_Unit,Q2818506,,formation of the United States Army (since 1917),"I served in the Army infantry. Specifically, I was with the 84th Infantry Division in the European Theater for three years. The Battle of the Bulge around Christmas was rough; we were isolated. Later, the 84th Infantry Division met up with British and Russian troops near the Elbe River. After that, we were stationed near Karlsruhe.","I served in the Army infantry in Europe for three years. The fighting around Christmas during the Battle of the Bulge was rough; we were isolated. Later, our unit met up with British and Russian troops near the Elbe River. After that, we were stationed near Karlsruhe."
1abe83f2ffc8,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Karlsruhe,Place,Q1040,,"city in Baden-Württemberg, Germany","After the war in Europe ended, my unit, the 84th Infantry, did occupation duty. We were stationed in the southern part of Germany, around Karlsruhe and Mannheim. I remember spending time in Heidelberg before shipping out from Marseilles. Thankfully, the war ended before we went to the Pacific.","After the war in Europe ended, my unit, the 84th Infantry, did occupation duty. We were stationed in the southern part of Germany, around that major city near Mannheim. I remember spending time in Heidelberg before shipping out from Marseilles. Thankfully, the war ended before we went to the Pacific."
b98ad3df7a03,train,loc_vhp,afc2001001.12848_John_Adamec_Collection,Mannheim,Place,Q2119,,"city in Baden-Württemberg, Germany","After the war in Europe ended, my division did occupation duty in southern Germany. We were stationed around Karlsruhe and **Mannheim**. I remember spending time in Heidelberg too, before shipping out from Marseilles. We were headed to the Pacific, but thankfully Japan surrendered. That boat ride back home was rough!","After the war in Europe ended, my division did occupation duty in southern Germany. We were stationed around Karlsruhe, in that major city where the Neckar meets the Rhine. I remember spending time in Heidelberg too, before shipping out from Marseilles. We were headed to the Pacific, but thankfully Japan surrendered. That boat ride back home was rough!"
a8034dacc43b,train,loc_vhp,afc2001001.18519_William_Ray_Abell_Collection,Atlantic Ocean,Place,Q97,,"ocean between Europe, Africa and the Americas","In '44, we shipped out from New York. The HMS Aquitania held 10,000 of us. Crossing the Atlantic Ocean, we saw a burning ship, a grim reminder of U-boats. They warned us we wouldn't last 15 minutes in the cold water. It took seven days.","In '44, we shipped out from New York. The HMS Aquitania held 10,000 of us. On that voyage, we saw a burning ship, a grim reminder of U-boats. They warned us we wouldn't last 15 minutes in the cold water. It took seven days."
0a4b3682acc5,train,loc_vhp,afc2001001.18519_William_Ray_Abell_Collection,London,Place,Q84,,capital and largest city of England and the United Kingdom,"We landed in Scotland, then took a train south. We got into London late one night in '44. That very night, London was bombed. It kinda put me off the city, and we soon moved on to prepare for France.","We landed in Scotland, then took a train south. We got into the capital late one night in '44. That very night, the city was bombed. It kinda put me off the place, and we soon moved on to prepare for France."
a87907437e49,train,loc_vhp,afc2001001.18519_William_Ray_Abell_Collection,France,Place,Q142,French Republic|France,"country in Western Europe and other continents (through its overseas territories in America, Africa and Oceania)","After landing in Scotland, we trained in England before heading to France. In 1944, we boarded a small metal boat, ready for the invasion. I remember looking up and seeing planes circling overhead as we approached France. It was a chaotic time.","After landing in Scotland, we trained in England before heading across the Channel. In 1944, we boarded a small metal boat, ready for the invasion. I remember looking up and seeing planes circling overhead as we approached the beaches. It was a chaotic time."
2955237803d3,train,loc_vhp,afc2001001.18519_William_Ray_Abell_Collection,D-Day,Event,Q55383751,,1992 video game,"I shipped out to England and got ready to head to France. I wasn't there for D-Day, but I saw the planes overhead getting ready. It was just after London was bombed, so we knew the invasion was coming soon. We were all anxious to do our part after D-Day.","I shipped out to England and got ready to head to France. I wasn't there on June 6th, but I saw the planes overhead getting ready. It was just after London was bombed, so we knew the invasion was coming soon. We were all anxious to do our part in the days that followed."
b153727f3b8d,train,loc_vhp,afc2001001.29029_William_Owen_Abernathy_Collection,"Parris Island, South Carolina",Place,Q2337823,,"census-designated place in Beaufort County, South Carolina, United States","I joined the US Marine Corps in September '32. They sent me straight to Parris Island, South Carolina, for boot camp. After about eight months there, I was assigned to the fire department, still at Parris Island, South Carolina. Then things got interesting.","I joined the US Marine Corps in September '32. They sent me straight to the recruit depot for boot camp. After about eight months there, I was assigned to the fire department, still at the depot. Then things got interesting."
a2c3e8140150,train,loc_vhp,afc2001001.29029_William_Owen_Abernathy_Collection,Guantánamo Bay,Place,Q208035,,bay located in Guantánamo Province,"After our shakedown cruise to Galveston on the USS Brooklyn, we stopped in New Orleans. From there, in '37 or '38, we made a trip to Guantánamo Bay. We then went back to Brooklyn before heading out again with the fleet, visiting Haiti, the Virgin Islands, and Panama.","After our shakedown cruise to Galveston on the USS Brooklyn, we stopped in New Orleans. From there, in '37 or '38, we made a trip to that naval station in Cuba. We then went back to Brooklyn before heading out again with the fleet, visiting Haiti, the Virgin Islands, and Panama."
a5b6d31f7299,train,loc_vhp,afc2001001.29029_William_Owen_Abernathy_Collection,Okinawa Island,Place,Q600614,,smallest of the five main islands of Japan,"I was a Marine. After all those maneuvers, I finally got a ship. We wound up in the Pacific during the war. I remember the Battle of Okinawa. We were on Okinawa Island, fighting hard.","I was a Marine. After all those maneuvers, I finally got a ship. We wound up in the Pacific during the war. I remember that battle in the spring of '45. We were there, fighting hard."
0c1510029083,train,loc_vhp,afc2001001.32482_Ronald_D._Aarons_Collection,Air Force,Organization,Q61883,air force|air army,military branch of service primarily concerned with aerial warfare,"I joined the Air Force on March 29th, 1961, at 19. I served for 22 and a half years, retiring as a major. My first base was Pease Air Force Base in New Hampshire, starting in late October 1961. Later, I was stationed at Wright-Patterson Air Force Base in Ohio.","I joined on March 29th, 1961, at 19. I served for 22 and a half years, retiring as a major. My first base was Pease in New Hampshire, starting in late October 1961. Later, I was stationed at Wright-Patterson in Ohio."
6530454f975a,train,loc_vhp,afc2001001.32482_Ronald_D._Aarons_Collection,GI Bill,Event,Q1484269,"GI Bill of Rights|Public Law 346|G.I. Bill|United States Public Law 346|GI Bill|Servicemen's Readjustment Act of 1944|G.I. Bill of Rights|Act to provide Federal Government aid for the readjustment in civilian life of returning World War II veterans|Public Law 346, 78th Congress|Public Law 78-346",United States law that provided a range of benefits for returning World War II veterans,"I joined the Air Force in '61 partly to serve my country, but also to build up my GI Bill benefits. I wanted to go to school full-time after my service. My dad's passing left us without much money, so the GI Bill was key to my education.","I joined the Air Force in '61 partly to serve my country, but also to build up education benefits. I wanted to go to school full-time after my service. My dad's passing left us without much money, so those benefits were key to my education."
9e14193fdefd,train,loc_vhp,afc2001001.32482_Ronald_D._Aarons_Collection,Ohio,Place,Q1397,,state of the United States of America,"I joined the Air Force in '61. After basic, I had training in Illinois. Before that, I was in Ohio. Later, after my time in the Far East, I was stationed at Wright-Patterson Air Force Base in Ohio, auditing aircraft systems.","I joined the Air Force in '61. After basic, I had training in Illinois. Before that, I was living back home. Later, after my time in the Far East, I was stationed at Wright-Patterson Air Force Base, auditing aircraft systems."
410e9ce82b06,train,loc_vhp,afc2001001.32482_Ronald_D._Aarons_Collection,Philippines,Place,Q928,,archipelagic country in Southeast Asia,"During the Vietnam War, I was stationed in the Philippines. From there, in 196x, we audited bases in Thailand and Vietnam. It was a busy time in the Far East.","During the Vietnam War, I was stationed at an island nation to the east. From there, in 196x, we audited bases in Thailand and Vietnam. It was a busy time in the Far East."
c7579e1cf503,train,loc_vhp,afc2001001.41825_Loyd_Ernest_Abbott_Collection,"Long Beach, California",Place,Q16739,,"city in Los Angeles County, California, United States","I enlisted in the Navy in '54. After basic and time in Washington, I was stationed in Long Beach, California. It was my home court in the States before heading to Sasebo, Japan. From there, I sailed all over Southeast Asia until '57.","I enlisted in the Navy in '54. After basic and time in Washington, I was stationed at a major California port city. It was my home court in the States before heading to Sasebo, Japan. From there, I sailed all over Southeast Asia until '57."
